mun_name,coast,region
Andratx,1,6
Calvia,1,6
Estellencs,1,6
Puigpunyent,0,6
Banyalbufar,1,6
Esporles,0,6
Palma,1,3
Valldemossa,1,6
Bunyola,0,6
Marratxi,0,5
Deia,1,6
Soller,1,6
Fornalutx,1,6
Escorca,1,6
Alaro,0,5
StaMaria,0,5
Consell,0,5
StaEugenia,0,4
Mancor,0,5
Lloseta,0,5
Binissalem,0,5
Sencelles,0,4
Algaida,0,4
Llucmajor,1,2
Selva,0,5
Inca,0,5
Costitx,0,4
Lloret,0,4
Montuiri,0,4
Porreres,0,4
Campos,1,2
Pollenca,1,6
Campanet,0,5
Buger,0,5
Llubi,0,4
Sineu,0,4
StJoan,0,4
Alcudia,1,5
SaPobla,0,5
Muro,1,4
StaMargalida,1,4
Maria,0,4
Ariany,0,4
Petra,0,4
Vilafranca,0,4
Felanitx,1,2
Santanyi,1,2
SesSalines,1,2
Arta,1,1
Capdepera,1,1
SonServera,1,1
StLlorenc,1,1
Manacor,1,1
