Municipios,mun_name,gender,year,population
07065 Vilafranca de Bonany,Vilafranca,Total,2021,3.558
07065 Vilafranca de Bonany,Vilafranca,Hombres,2021,1.819
07065 Vilafranca de Bonany,Vilafranca,Mujeres,2021,1.739
07063 Valldemossa,Valldemossa,Total,2021,2.042
07063 Valldemossa,Valldemossa,Hombres,2021,1.04
07063 Valldemossa,Valldemossa,Mujeres,2021,1.002
07062 Son Servera,SonServera,Total,2021,11.835
07062 Son Servera,SonServera,Hombres,2021,5.886
07062 Son Servera,SonServera,Mujeres,2021,5.949
07061 S�ller,Soller,Total,2021,13.491
07061 S�ller,Soller,Hombres,2021,6.72
07061 S�ller,Soller,Mujeres,2021,6.771
07060 Sineu,Sineu,Total,2021,4.122
07060 Sineu,Sineu,Hombres,2021,2.05
07060 Sineu,Sineu,Mujeres,2021,2.072
07047 Sencelles,Sencelles,Total,2021,3.542
07047 Sencelles,Sencelles,Hombres,2021,1.791
07047 Sencelles,Sencelles,Mujeres,2021,1.751
07058 Selva,Selva,Total,2021,4.126
07058 Selva,Selva,Hombres,2021,2.036
07058 Selva,Selva,Mujeres,2021,2.09
07057 Santany�,Santanyi,Total,2021,12.342
07057 Santany�,Santanyi,Hombres,2021,6.201
07057 Santany�,Santanyi,Mujeres,2021,6.141
07056 Santa Mar�a del Cam�,StaMaria,Total,2021,7.507
07056 Santa Mar�a del Cam�,StaMaria,Hombres,2021,3.754
07056 Santa Mar�a del Cam�,StaMaria,Mujeres,2021,3.753
07055 Santa Margalida,StaMargalida,Total,2021,12.767
07055 Santa Margalida,StaMargalida,Hombres,2021,6.575
07055 Santa Margalida,StaMargalida,Mujeres,2021,6.192
07053 Santa Eug�nia,StaEugenia,Total,2021,1.724
07053 Santa Eug�nia,StaEugenia,Hombres,2021,860
07053 Santa Eug�nia,StaEugenia,Mujeres,2021,864
07051 Sant Lloren� des Cardassar,StLlorenc,Total,2021,8.92
07051 Sant Lloren� des Cardassar,StLlorenc,Hombres,2021,4.477
07051 Sant Lloren� des Cardassar,StLlorenc,Mujeres,2021,4.443
07049 Sant Joan,StJoan,Total,2021,2.185
07049 Sant Joan,StJoan,Hombres,2021,1.076
