mun_name	Indicadores de renta media y mediana	Periodo	Total
Alaro	Renta neta media por persona 	2019	13.64
Alaro	Renta neta media por hogar	2019	38.003
Alaro	Media de la renta por unidad de consumo	2019	21.37
Alaro	Mediana de la renta por unidad de consumo	2019	18.55
Alaro	Renta bruta media por persona	2019	16.954
Alaro	Renta bruta media por hogar	2019	47.238
Alcudia	Renta neta media por persona 	2019	12.655
Alcudia	Renta neta media por hogar	2019	35.063
Alcudia	Media de la renta por unidad de consumo	2019	19.593
Alcudia	Mediana de la renta por unidad de consumo	2019	16.45
Alcudia	Renta bruta media por persona	2019	15.305
Alcudia	Renta bruta media por hogar	2019	42.405
Algaida	Renta neta media por persona 	2019	13.57
Algaida	Renta neta media por hogar	2019	35.233
Algaida	Media de la renta por unidad de consumo	2019	20.799
Algaida	Mediana de la renta por unidad de consumo	2019	18.55
Algaida	Renta bruta media por persona	2019	16.69
Algaida	Renta bruta media por hogar	2019	43.334
Andratx	Renta neta media por persona 	2019	12.878
Andratx	Renta neta media por hogar	2019	34.204
Andratx	Media de la renta por unidad de consumo	2019	19.858
Andratx	Mediana de la renta por unidad de consumo	2019	17.15
Andratx	Renta bruta media por persona	2019	15.551
Andratx	Renta bruta media por hogar	2019	41.302
Arta	Renta neta media por persona 	2019	12.193
Arta	Renta neta media por hogar	2019	32.763
Arta	Media de la renta por unidad de consumo	2019	18.962
Arta	Mediana de la renta por unidad de consumo	2019	17.15
Arta	Renta bruta media por persona	2019	14.722
Arta	Renta bruta media por hogar	2019	39.557
Banyalbufar	Renta neta media por persona 	2019	16.375
Banyalbufar	Renta neta media por hogar	2019	37.169
Banyalbufar	Media de la renta por unidad de consumo	2019	23.797
Banyalbufar	Mediana de la renta por unidad de consumo	2019	19.95
Banyalbufar	Renta bruta media por persona	2019	20.416
Banyalbufar	Renta bruta media por hogar	2019	46.342
Binissalem	Renta neta media por persona 	2019	13.122
Binissalem	Renta neta media por hogar	2019	38.9
Binissalem	Media de la renta por unidad de consumo	2019	20.831
Binissalem	Mediana de la renta por unidad de consumo	2019	19.25
Binissalem	Renta bruta media por persona	2019	16.027
Binissalem	Renta bruta media por hogar	2019	47.511
Buger	Renta neta media por persona 	2019	13.996
Buger	Renta neta media por hogar	2019	33.205
Buger	Media de la renta por unidad de consumo	2019	20.666
Buger	Mediana de la renta por unidad de consumo	2019	19.25
Buger	Renta bruta media por persona	2019	16.871
Buger	Renta bruta media por hogar	2019	40.025
Bunyola	Renta neta media por persona 	2019	16.592
Bunyola	Renta neta media por hogar	2019	45.275
Bunyola	Media de la renta por unidad de consumo	2019	25.867
Bunyola	Mediana de la renta por unidad de consumo	2019	21.35
Bunyola	Renta bruta media por persona	2019	20.891
Bunyola	Renta bruta media por hogar	2019	57.007
Calvia	Renta neta media por persona 	2019	13.756
Calvia	Renta neta media por hogar	2019	36.259
Calvia	Media de la renta por unidad de consumo	2019	21.544
Calvia	Mediana de la renta por unidad de consumo	2019	17.85
Calvia	Renta bruta media por persona	2019	17.269
Calvia	Renta bruta media por hogar	2019	45.517
Campanet	Renta neta media por persona 	2019	13.982
Campanet	Renta neta media por hogar	2019	35.82
Campanet	Media de la renta por unidad de consumo	2019	21.239
Campanet	Mediana de la renta por unidad de consumo	2019	19.25
Campanet	Renta bruta media por persona	2019	16.954
Campanet	Renta bruta media por hogar	2019	43.433
Campos	Renta neta media por persona 	2019	12.367
Campos	Renta neta media por hogar	2019	32.986
Campos	Media de la renta por unidad de consumo	2019	18.92
Campos	Mediana de la renta por unidad de consumo	2019	17.15
Campos	Renta bruta media por persona	2019	14.812
Campos	Renta bruta media por hogar	2019	39.509
Capdepera	Renta neta media por persona 	2019	12.131
